2026-07-13	SD-3157｜切换为意大利语，语音球文言显示的中文	Jira：待办/P1->High，切换为意大利语，语音球文言显示的中文；关键评论：谭威：静态语音球 随机文案提示，没有收到这里的翻译需求 请陈可老师确认一下。 看一下这里是随系统语言切换还是随语音语言切换呢。；工作说明对应模块未见直接结论。	语音NLU/应用执行侧处理：校正query与功能点下发；下发正确后由应用执行侧修复。	FALSE		转语音		经办人：吴优；已按时间线读取 2 条评论；语音链路	吴优工作说明
2026-07-13	PC-37824｜导航中，语音：去加油站，再query：结束导航，目的地查询卡片没有收起	Jira：待办/P2->Medium，导航中，语音：去加油站，再query：结束导航，目的地查询卡片没有收起；关键评论：程云：语音结束导航，需要关闭之前的语音查询poi结果弹窗吗？请产品确认下 吴优；工作说明对应模块未见直接结论。	语音NLU/应用执行侧处理：校正query与功能点下发；下发正确后由应用执行侧修复。	FALSE		转语音		经办人：吴优；已按时间线读取 1 条评论；语音链路	吴优工作说明
2026-07-13	PC-37791｜query：路线偏好，tts回复路线偏好不支持偏好	Jira：待办/P2->Medium，query：路线偏好，tts回复路线偏好不支持偏好；关键评论：汪雯菁：下发和平台一致，产品确认下需求；Jira日志 meta_id=1023；工作说明对应模块未见直接结论。	当前无生效定义，转语音需求评审，补齐目标行为与适用车型后再排期。	FALSE		转需求		经办人：吴优；已按时间线读取 2 条评论；需求缺口	吴优工作说明
2026-07-13	PC-37759｜蓝牙电话未授权，连接蓝牙后，query：拨打电话依然能够打出电话	现象：蓝牙已连接、通讯录未授权，语音仍能拨打10086。；证据：AIS电话PRD明确数字号码直拨不依赖联系人同步；Alchemy当前先命中1059再命中1061。	结论：非 Bug；蓝牙已连接时可直接拨打明确数字号码，通讯录未授权只限制联系人检索。 依据：AIS电话PRD直接号码条款、Jira当前现象、Alchemy原话测试与1061标准/项目功能点。 处理：吴优按非问题关闭本票，BTPhone无需改动。	FALSE		非 Bug		仅适用于已连接蓝牙且说出明确号码；联系人姓名拨打仍受通讯录授权约束。	AIS_语音蓝牙电话产品需求文档_v2.7
2026-07-13	PC-37308｜设置一个3000公理的途径点，下电，上电继续导航，终点消失，途径点成为终点	现象：续导恢复原终点但未恢复途经点；之后新发起的人和导航替换了路线。；证据：地图PRD仅定义24小时续导提示，未定义途经点持久化。	结论：待确认；现行续导定义未覆盖途经点持久化，不能按旧口径判符合预期。 依据：地图导航PRD 8.2与Jira完整日志。 处理：吴优补充“续导是否恢复途经点及顺序”的产品定义，随后由地图研发评估实现。	FALSE		待确认		定义需覆盖途经点数量、顺序、失效条件和新导航覆盖规则。	Megatronix_地图导航产品需求文档_C385&C673_V6.1
2026-07-13	PC-37226｜query：把地图设置为全屏，tts回复暂不支持这样的说法	现象：原8155版本回复不支持；当前PCBIGSUR在线已命中meta_id=3147。；证据：地图PRD定义全屏切换，关联Story PC-39291跟踪项目补齐。	结论：待回归；全屏目标已明确且当前平台可命中3147，但原票8155项目需以PC-39291交付版本验证。 依据：地图PRD 1.2.4、Alchemy当前原话结果、关联Story PC-39291。 处理：PC语音配置与地图研发完成PC-39291后，在目标8155版本回归“导航全屏”。	FALSE		待回归		回归必须使用PC-39291目标8155版本，不能用8295结果替代。	Megatronix_地图导航产品需求文档_C385&C673_V6.1
2026-07-13	PC-37222｜导航中，Query：下一个途径点是哪里，tts回复选择超出范围了，您可以说选择第一个	Jira：待办/P1->High，导航中，Query：下一个途径点是哪里，tts回复选择超出范围了，您可以说选择第一个；关键评论：汪雯菁：https://vos-debug.i-tetris.com/#/info/getReqInfo?rid=b3bc55c9-79ae-4aac-93；Jira日志 meta_id=1206；工作说明对应模块未见直接结论。	语音NLU/标注处理：修正query落域、槽位或泛化并校验标准与项目功能点。	FALSE		转语音		经办人：吴优；已按时间线读取 2 条评论；语音链路	吴优工作说明
2026-07-13	HUR-81890｜英语，AVM界面，前鱼眼和后鱼眼文言单字母换行	Jira：待办/P2->Medium，英语，AVM界面，前鱼眼和后鱼眼文言单字母换行；关键评论：黄文：<string name="view_rear_fish">Rear Fisheye</string> <string name="view_front_fish">Front Fisheye</string> 麻烦更改下文言不要有单行显示；工作说明对应模块未见直接结论。	Camera研发按 Jira 预期结果修复当前差异并提供目标版本，测试回归。	FALSE		可转研发		经办人：吴优；已按时间线读取 1 条评论；按现象分流	吴优工作说明
2026-07-13	HUR-81875｜匈牙利语，360全景-后鱼眼文言显示有截断	Jira：待办/P2->Medium，匈牙利语，360全景-后鱼眼文言显示有截断；关键评论：黄文：<string name="view_rear_fish">Hátsó halszemoptika</string> 麻烦精简下文言；工作说明对应模块未见直接结论。	AVM/360研发按 Jira 预期结果修复当前差异并提供目标版本，测试回归。	FALSE		可转研发		经办人：吴优；已按时间线读取 1 条评论；按现象分流	吴优工作说明
2026-07-13	HUR-81874｜匈牙利语，360全景-前鱼眼文言显示有截断	Jira：待办/P2->Medium，匈牙利语，360全景-前鱼眼文言显示有截断；关键评论：黄文：<string name="view_front_fish">Elülső halszemoptika</string> 麻烦精简下文言；工作说明对应模块未见直接结论。	AVM/360研发按 Jira 预期结果修复当前差异并提供目标版本，测试回归。	FALSE		可转研发		经办人：吴优；已按时间线读取 1 条评论；按现象分流	吴优工作说明
